1 135
1 0 0
1 0 1
1 0 2
1 0 3
1 0 4
1 0 5
1 0 6
1 0 7
1 0 8
1 0 9
1 0 10
1 0 11
1 0 12
1 1 0
18 1 1
13 1 3
6 1 4
7 1 5
6 1 6
1 1 12
1 2 0
1 2 1
1 2 2
1 2 3
1 2 4
1 2 5
1 2 6
1 2 7
1 2 8
1 2 9
1 2 10
1 2 12
1 3 0
16 3 1
10 3 3
3 3 4
1 3 6
16 3 7
13 3 8
16 3 9
1 3 10
1 3 12
1 4 0
13 4 1
10 4 2
17 4 3
1 4 4
1 4 6
16 4 7
13 4 8
16 4 9
1 4 10
1 4 12
1 5 0
1 5 1
3 5 2
1 5 3
1 5 4
1 5 6
1 5 7
1 5 8
11 5 9
1 5 10
1 5 12
1 6 0
13 6 1
10 6 2
1 6 4
3 6 6
9 6 7
6 6 8
8 6 9
1 6 10
1 6 12
1 7 0
17 7 1
14 7 3
1 7 4
1 7 6
1 7 7
1 7 8
1 7 9
1 7 10
1 7 12
1 8 0
1 8 1
3 8 2
1 8 3
1 8 4
1 8 12
1 9 0
10 9 2
1 9 4
1 9 5
2 8 8 Empire 1 800 20 20 20 0 0 1 0
1 9 7
1 9 8
1 9 9
3 9 10
1 9 11
1 9 12
1 10 0
16 10 1
16 10 2
13 10 3
1 10 4
15 10 5
1 10 8
13 10 9
10 10 10
14 10 11
1 10 12
1 11 0
16 11 1
13 11 3
1 11 4
19 11 6
1 11 8
13 11 9
13 11 10
13 11 11
1 11 12
1 12 0
1 12 1
1 12 2
1 12 3
1 12 4
1 12 5
1 12 6
1 12 7
1 12 8
1 12 9
1 12 10
1 12 11
1 12 12
